Case number,Match Name,HorW,end_point_id,start_point_id,XG,start_index,end_index,num_shots,duration,distance_covered,number_of_players_involved,num_pass,zone_1_count,zone_2_count,zone_3_count,zone_4_count,zone_5_count,zone_6_count,zone_7_count,zone_8_count,zone_9_count,zone_10_count,zone_11_count,zone_12_count,zone_13_count,zone_14_count,zone_15_count,zone_16_count,zone_17_count,zone_18_count,zone_19_count,zone_20_count,zone_21_count,zone_22_count,zone_23_count,zone_24_count,Start_Zone,End_Zone,zone_transition_count,forward_movement_count,backward_movement_count,net_progress_ratio,num_opponents_front,distance_to_goal,shoot_angle,period,minute_absolute
281,LeverkusenVSFCKöln_Home,1,3033427a-49c3-45a9-b0f2-9c53df558f59,225494f7-b9a2-4870-8442-8eef8b346ad9,0.023003938,3663,3681,1,10.374379,109.07549700000001,7,4,0,0,1,0,0,0,0,2,0,0,0,1,0,0,3,0,7,0,0,0,1,2,0,0,21,22,11,7,7,0.5079339378238342,1,12.822246293064252,23.88286778468466,2,81.84931666666667
282,LeverkusenVSFCKöln_Home,1,97093c18-29f0-422a-b0f3-bbbc3aadaa6a,fa06a5b2-5ee1-461c-81dd-63819bffaf2e,0.026818357,3695,3807,1,105.578388002,838.3751322098681,10,34,0,2,1,3,7,11,9,4,10,11,18,3,6,11,0,6,2,2,1,6,0,0,0,0,9,19,51,38,28,0.5172566764262266,3,25.9624729176556,15.702947660177509,2,83.88371666666666
283,LeverkusenVSFCKöln_Home,1,61e05b20-2f57-4401-b337-f7475a0ad499,600db1e7-e17d-4d1f-80a9-c38ba2d480e1,0.025139155,4125,4192,1,47.23053800000001,358.57025753282807,9,16,0,1,3,14,4,0,0,2,0,5,4,0,11,0,1,0,5,2,0,0,8,5,1,0,4,22,33,22,22,0.5297927461139896,2,20.30394050424695,17.93813610486175,2,92.2122
284,LeverkusenVSFSVMainz05_Away,0,eb3bdb0f-c8c1-472c-9297-4f624735f22d,2e6acea9-1c64-4bd5-82b4-2fe1bce0b813,0.046349965,282,287,1,4.906478,5.922837157984336,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,19,2,3,1,0.50037397157816,7,28.470335438838795,17.16059121698162,1,9.154033333333333
285,LeverkusenVSFSVMainz05_Away,0,3a26ee43-c3f1-42d7-a8f6-bfd82f695910,fda68dd5-0d78-4457-98dc-fe70a3cb008e,0.08269043,2551,2625,1,56.48439003000003,411.9720737482219,10,23,0,0,0,0,0,2,5,10,0,0,0,4,1,11,8,0,3,9,12,9,0,0,1,0,8,18,27,29,18,0.5318295292439372,7,21.901826407859232,21.598652775709223,2,58.74041666666667
286,LeverkusenVSFSVMainz05_Away,0,12a24a9b-3c9c-45d4-989f-066a49816a44,7442cdf3-b677-41be-a0c8-3a9142dde272,0.12421208,2815,2828,1,8.404472,66.44151963162128,4,2,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,2,0,0,0,0,1,2,0,10,23,7,5,4,0.7000000000000001,0,15.310127367203707,27.05154930766756,2,64.36605
287,LeverkusenVSFSVMainz05_Away,0,64789666-5896-4fef-96c1-25018916f804,c831acee-1365-43ac-87ce-569a48116b4a,0.48862752,3209,3223,1,13.383232999999999,94.82850440917602,3,2,0,2,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,2,22,7,6,4,0.6311072564324949,1,15.500322577288513,31.049323010389706,2,74.11821666666667
288,LeverkusenVSFSVMainz05_Away,0,29219c51-1ff4-4fb0-958e-dfb370dcdd43,b0dfea9b-a9d1-4af3-ae76-921bf1976781,0.05178485,3497,3573,2,58.809614,473.93259052244696,10,20,0,4,4,0,3,1,7,16,6,7,8,6,3,3,0,1,1,3,1,0,0,1,2,0,9,23,38,31,20,0.5271814887092278,0,22.20360331117452,13.276608915977782,2,82.50823333333334
289,LeverkusenVSFSVMainz05_Home,1,ed4e6d65-30d2-4439-89af-dc1b81d129dc,fc04af53-891b-4d4b-9131-060d5ecd1ad6,0.018621445,61,101,1,36.023674002,303.92233768512887,8,10,0,3,0,1,4,3,0,2,2,3,0,1,0,0,5,0,1,5,5,2,3,0,0,1,5,18,21,15,14,0.5419624746450304,1,27.771388153997638,13.757537304639609,1,2.6501333333333332
290,LeverkusenVSFSVMainz05_Home,1,951b8142-5777-429a-8bfb-44f9898ad631,d91dd07f-96c3-44c7-a582-e421abe8f027,0.101310536,581,630,1,37.771651001,311.387293882597,11,15,0,1,4,0,1,0,0,2,1,0,0,0,3,8,1,3,3,3,4,6,0,1,5,4,2,23,23,22,9,0.5644312199588006,0,12.924782396620845,18.290358682497807,1,15.77955
291,LeverkusenVSFSVMainz05_Home,1,cab4ddbd-eed1-41f1-bb60-249c006cf6f2,127057f3-f5d3-406d-af85-4c939af3c140,0.033113256,743,815,1,64.08701599999998,450.640100461426,10,24,4,1,2,0,0,3,1,1,2,4,2,0,0,9,16,9,0,6,7,2,0,1,0,3,8,18,30,26,19,0.5455284552845528,4,25.497450852977444,18.402333035666786,1,19.033183333333334
292,LeverkusenVSFSVMainz05_Home,1,ea0b46da-b503-4e90-a637-6431d921bfcc,6d187bbb-f109-44fd-af64-c6cf9f76f968,0.14916393,826,941,1,108.792186002,817.6842885699953,11,37,0,0,3,0,2,11,3,5,11,19,11,13,1,1,9,12,4,6,2,1,0,0,2,0,6,23,51,45,27,0.5450785773366419,1,11.795761950802502,39.877880068969,1,21.9093
